Feature,F-statistic,p-value,Effect Size (η²),Effect Interpretation,Jump_mean,Jump_std,Spin_mean,Spin_std,Step_mean,Step_std,max_mean_diff
LEye_x,30096.555203642463,0.0,0.04630677002106981,Medium Effect,1236.101,296.7686,1097.5139,237.0632,1128.1425,335.9193,138.5871000000002
Nose_x,29955.694019402406,0.0,0.0461000312791312,Medium Effect,1235.6785,296.1455,1098.2872,236.1223,1126.6258,335.9212,137.3913
REye_x,29704.00617144945,0.0,0.045730411532400976,Medium Effect,1235.8032,296.8886,1098.4504,237.2271,1126.5144,338.4503,137.35280000000012
Head_x,29320.345016317096,0.0,0.04516642907804678,Medium Effect,1237.951,300.0539,1098.3511,241.8969,1131.3161,342.7992,139.59989999999993
LEar_x,29193.65603225177,0.0,0.044980049648921154,Medium Effect,1235.0649,299.3838,1095.3094,241.257,1131.7792,340.5912,139.75549999999998
LShoulder_x,29024.366830728217,0.0,0.044730884993302765,Medium Effect,1232.8446,297.0469,1094.1717,238.6272,1133.7597,334.9373,138.6728999999998
LElbow_x,28321.882684913882,0.0,0.043695558239987345,Medium Effect,1227.6916,295.857,1091.864,236.5597,1131.3843,328.3755,135.82760000000007
Neck_x,28158.43152676806,0.0,0.04345434070224959,Medium Effect,1236.6777,298.0439,1099.2447,241.3272,1136.0343,342.244,137.433
REar_x,28054.619741921288,0.0,0.04330107441075517,Medium Effect,1240.2818,299.5904,1102.4212,242.8906,1137.7056,346.9344,137.86059999999998
LWrist_x,27377.439508858784,0.0,0.042300088405306746,Medium Effect,1223.9821,296.1432,1091.5109,236.8433,1128.6346,321.6989,132.47119999999995
RShoulder_x,26089.641588437724,0.0,0.04039071615113752,Medium Effect,1237.7057,298.1231,1104.0731,245.0737,1140.1375,348.7423,133.6325999999999
LHip_x,25002.68352741467,0.0,0.03877318704194828,Medium Effect,1225.0296,292.582,1096.5281,236.0658,1139.5291,331.0603,128.50150000000008
RElbow_x,24435.244469103094,0.0,0.03792659864813076,Medium Effect,1234.5234,294.579,1106.4966,245.2636,1138.9374,348.2837,128.0268000000001
LKnee_x,24418.06458484452,0.0,0.03790094393105033,Medium Effect,1217.3871,289.7047,1092.93,231.463,1132.1253,323.8701,124.45709999999985
Hip_x,24335.170473495724,0.0,0.03777713894394709,Medium Effect,1226.5626,292.9025,1099.2652,237.5465,1140.9151,335.1732,127.29739999999993
RWrist_x,23592.8951758873,0.0,0.03666710548770997,Medium Effect,1230.7826,289.9096,1107.5946,245.2708,1133.8403,345.9289,123.1880000000001
RHip_x,23411.22301360385,0.0,0.036395034142113813,Medium Effect,1227.5353,293.1451,1102.2065,238.9084,1142.5198,338.7553,125.3288
LSmallToe_x,21795.728711976837,0.0,0.03396890135455151,Medium Effect,1206.3353,288.3538,1089.9503,229.4369,1126.8423,316.9048,116.38499999999999
LBigToe_x,21645.668860786303,0.0,0.03374292275832364,Medium Effect,1205.4369,287.8506,1089.8133,228.8365,1125.1924,317.8304,115.6235999999999
LAnkle_x,21607.084121004795,0.0,0.03368480001902774,Medium Effect,1210.8092,289.4437,1092.8349,233.0366,1134.4756,322.1431,117.97429999999986
RKnee_x,21365.04649872983,0.0,0.03332004321442159,Medium Effect,1222.8061,291.0099,1104.6692,234.5573,1142.5143,332.7822,118.13689999999997
LHeel_x,21036.865643485722,0.0,0.032825026336861206,Medium Effect,1210.4323,290.089,1093.1516,234.8532,1136.7149,323.3339,117.28070000000002
RAnkle_x,18535.990586442324,0.0,0.02903607401848897,Medium Effect,1216.6396,292.364,1104.8545,235.9978,1147.4652,332.7434,111.78510000000006
RHeel_x,18173.346049216183,0.0,0.028484183275137603,Medium Effect,1216.7469,293.7386,1105.1574,237.5067,1150.1185,333.685,111.58950000000004
RBigToe_x,17699.413044912264,0.0,0.02776198170465354,Medium Effect,1213.6091,290.3328,1106.1733,232.905,1143.3488,328.8186,107.43579999999997
RSmallToe_x,17501.65821053895,0.0,0.027460315930150796,Medium Effect,1213.6096,291.0474,1106.1381,234.1574,1143.9606,331.3839,107.4715000000001
LHeel_y,8080.65768184536,0.0,0.012868874188545982,Medium Effect,623.0336,166.7567,657.026,104.3991,650.0743,113.1656,33.992399999999975
LSmallToe_y,8021.264158392872,0.0,0.012775495265112012,Medium Effect,626.8949,166.4414,660.776,103.0451,653.308,112.6352,33.88109999999995
LBigToe_y,7909.227257492006,0.0,0.012599301943296157,Medium Effect,626.4403,166.9577,660.5103,102.6704,651.9271,114.2032,34.07000000000005
LAnkle_y,7536.971875913789,0.0,0.012013427631113682,Medium Effect,614.2384,165.6848,647.0864,102.7141,639.3511,112.1704,32.84800000000007
RSmallToe_y,5981.056878668731,0.0,0.009557105339805555,Small Effect,625.3383,167.9555,656.7253,107.3255,645.3207,127.8613,31.386999999999944
RHeel_y,5901.368490836796,0.0,0.009430972484885922,Small Effect,622.2684,167.5734,653.1649,107.8818,643.13,127.4438,30.896499999999946
RBigToe_y,5869.378856816422,0.0,0.009380329422073235,Small Effect,625.7282,166.9033,656.4229,106.7382,646.0352,125.8884,30.69470000000001
RAnkle_y,5839.193365615856,0.0,0.009332537764490383,Small Effect,613.6898,166.2239,644.2086,106.2694,633.7269,125.3183,30.518800000000056
LKnee_y,5512.995203819608,0.0,0.008815785027866528,Small Effect,559.8132,158.1328,587.4205,95.2933,576.4624,105.3651,27.607299999999896
RKnee_y,5097.53763777524,0.0,0.008156849312244434,Small Effect,559.6121,157.0707,586.5119,97.5129,574.9336,111.1289,26.899799999999914
level,4253.400350174341,0.0,0.006815304756044227,Small Effect,2.0713,0.8123,2.1822,0.7883,2.2258,0.7779,0.15450000000000008
RHip_y,3573.826948023404,0.0,0.005732653541247606,Small Effect,508.5923,152.6834,530.1541,91.8625,514.7152,101.0951,21.56179999999995
Hip_y,3353.8323744486192,0.0,0.005381666885784939,Small Effect,505.6071,152.1092,526.399,91.1497,511.8043,99.4947,20.7919
LHip_y,3332.682642034535,0.0,0.005347910842438513,Small Effect,508.973,153.1683,529.8037,91.1705,515.3043,99.2502,20.830700000000036
RShoulder_y,2958.4533951720196,0.0,0.004750242841096757,Small Effect,422.2843,137.8753,438.643,83.7216,421.8012,89.7499,16.841799999999978
Neck_y,2623.112915289497,0.0,0.004214072179891683,Small Effect,406.8997,135.165,421.5853,82.2963,405.5696,84.4869,16.015700000000038
LShoulder_y,2477.310727638862,0.0,0.003980771100839379,Small Effect,423.19,137.4903,438.3403,82.7753,423.8368,84.6103,15.150300000000016
LEar_y,2467.43361977065,0.0,0.003964962583675273,Small Effect,389.8901,133.2023,403.3831,81.521,387.3976,81.8477,15.985500000000002
REar_y,2418.031866103996,0.0,0.0038858865141193615,Small Effect,390.0825,133.6265,403.5448,81.9076,387.6872,83.0348,15.85759999999999
RElbow_y,2360.927207904373,0.0,0.0037944649641860036,Small Effect,459.1536,146.6175,476.0394,90.7537,462.5344,104.6477,16.885800000000017
Head_y,2271.092107562978,0.0,0.0036506097305703945,Small Effect,365.0691,128.2966,376.6393,78.5465,361.0137,78.2846,15.62560000000002
Nose_y,2261.4780568825763,0.0,0.003635212045343602,Small Effect,394.3209,134.9154,407.7335,82.4693,392.6372,83.3138,15.096299999999985
REye_y,2248.4945413307673,0.0,0.003614417132331445,Small Effect,388.3253,133.9503,401.4458,81.9378,386.2814,82.847,15.1644
LEye_y,2236.5542562098685,0.0,0.0035952923323068296,Small Effect,388.1315,133.6758,401.1515,81.6569,386.0503,82.0328,15.101200000000006
LElbow_y,1420.2262891302842,0.0,0.002286033544343191,Small Effect,462.4657,147.0191,475.6027,89.8021,469.1626,94.3775,13.137
LWrist_y,963.4493115490512,0.0,0.0015519343662615478,Small Effect,489.8163,157.1172,495.1347,101.0777,502.9147,103.5772,13.09839999999997
RWrist_y,887.0969297076293,0.0,0.0014291209065202405,Small Effect,484.3098,155.4865,495.5053,101.5114,491.6997,119.0583,11.195499999999981
gender,711.7909932709925,1.123195588556305e-309,0.0011470254530702587,Small Effect,0.1925,0.3943,0.2113,0.4082,0.2268,0.4187,0.0343
